订单详情
名称,商品编号,原价,现价
"=""徐福记1250酥心糖桶600g/桶""","=""6914782121027""","=""57.9""","=""49.9"""
"=""星冰乐咖啡饮料原味281ml/瓶""","=""6957354240016""","=""16.8""","=""16.8"""
"=""芬达橙味500ml/瓶""","=""6928804011326""","=""3.5""","=""2.3"""
"=""心水天然水550ml/瓶""","=""6925009930902""","=""2""","=""2"""
"=""油菜480g-550g/盒""","=""2300000060164""","=""3.5""","=""3"""
"=""蒜黄300g-320g/袋""","=""2300000060218""","=""3.8""","=""3"""
"=""2080活力40+护龈牙膏110g/支""","=""8801046986110""","=""26""","=""25"""
"=""屈臣氏听装苏打水330ml/罐""","=""6920180209601""","=""5""","=""3.6"""
"=""正林3A西瓜子1.2kg/桶""","=""6920509067905""","=""77.8""","=""68"""
"=""农夫山泉维他命柑桔营养素500ml/瓶""","=""6921168550142""","=""3.8""","=""3.8"""
